S_Name,P_Name,Year
Air Jordan III,Michael Jordan,1988
Nike Air Foamposite One,Anfernee “Penny” Hardaway,1997
Air Jordan XI,Michael Jordan,1995
Reebok Question,Allen Iverson,1996
Nike Kobe VIII,Kobe Bryant,2013
Nike LeBron VIII,LeBron James,2010
FILA Grant Hill,Grant Hill,1995
Nike Air Penny II,Anfernee “Penny” Hardaway,1996
Nike Air Zoom Generation,LeBron James,2003
Nike Kobe 9 Elite,Kobe Bryant,2014
Nike Air Max2 CB34,Charles Barkley,1994
Nike Flightposite II KG,Kevin Garnett,2000
Nike KD 4,Kevin Durant,2011
Nike Zoom Kobe IV,Kobe Bryant,2009
Air Jordan VI,Michael Jordan,1991
Nike Air Max LeBron VII,LeBron James,2009
Converse Aero Jam,Larry Johnson,1992
Nike KD 6,Kevin Durant,2013
Nike Zoom Flight ’98 “The Glove”,Gary Payton,1998
Reebok Kamikaze II,Shawn Kemp,1996
Reebok Shaqnosis,Shaquille O’Neal,1992
Air Jordan I,Michael Jordan,1985
adidas KB8,Kobe Bryant,1997
 adidas Mutombo,Dikembe Mutombo,1992
Nike Air Garnett III,Kevin Garnett,1999
Ewing Athletics 33 HI,Patrick Ewing,1993
Nike Air Jordan 4,Michael Jordan,1989
Nike Air Pippen 1,Scottie Pippen,1997
Nike Air Penny I,Anfernee “Penny” Hardaway,1995
Nike Zoom Kobe V,Kobe Bryant,2010
Reebok Shaq Attaq,Shaquille O’Neal,1993
Nike Air Zoom GP,Gary Payton,1997
Reebok Answer I,Allen Iverson,1997
Nike Air Alonzo,Alonzo Mourning,1997
Li Ning Way of Wade 2,Dwyane Wade,2014
Nike Zoom Flight V,Jason Kidd,1997
adidas adiZero Rose 2,Derrick Rose,2010
FILA Ninety6 Grant Hill 2,Grant Hill,1996
Jordan Melo M10,Carmelo Anthony,2014
adidas The KOBE,Kobe Bryant,2000
adidas Attitude,Patrick Ewing,1986
Nike Durant V,Kevin Durant,2012
Nike Shox BB4,Vince Carter,2000
adidas T-Mac 2,Tracy McGrady,2002
Jordan CP3 VII,Chris Paul,2013
adidas J Wall 1,John Wall,2014
Jordan Melo 1.5,Carmelo Anthony,2005
Starbury,Stephon Marbury,2006
adidas T-MAC 4,Tracy McGrady,2004
