,name,attendence,value,conf
0,Chicago Bulls,888882,2500,East
1,Dallas Mavericks,811366,1450,West
2,Sacramento Kings,721928,1075,West
3,Miami Heat,805400,1350,East
4,Toronto Raptors,813050,1125,East
5,Los Angeles Clippers,782609,2000,West
6,Cleveland Cavaliers,843042,1200,East
7,Golden State Warriors,803436,2600,West
8,Oklahoma City Thunder,746323,1025,West
9,New York Knicks,810741,3300,East
10,Boston Celtics,760690,2200,East
11,Los Angeles Lakers,776917,3000,West
12,Portland Trail Blazers,792029,1050,West
13,San Antonio Spurs,755347,1175,West
14,Utah Jazz,806605,910,West
15,Orlando Magic,727875,920,East
16,New Orleans Pelicans,663099,750,West
17,Houston Rockets,695903,1650,West
18,Phoenix Suns,708639,1100,West
19,Indiana Pacers,684578,880,East
20,Memphis Grizzlies,677314,790,West
21,Charlotte Hornets,710643,780,East
22,Philadelphia 76ers,710557,800,East
23,Atlanta Hawks,654306,885,East
24,Brooklyn Nets,632608,1800,East
25,Milwaukee Bucks,648952,785,East
26,Washington Wizards,697107,1000,East
27,Denver Nuggets,605585,890,West
28,Minnesota Timberwolves,607203,770,West
29,Detroit Pistons,655141,900,East
